suburb|state|postcode
LAKE ILLAWARRA|NSW|2528
TATHRA|NSW|2550
HALLSVILLE|NSW|2340
BOOMI|NSW|2405
MERAH NORTH|NSW|2388
CAMERON PARK|NSW|2285
WAY WAY|NSW|2447
SASSAFRAS|NSW|2622
NUBBA|NSW|2587
GILGAI|NSW|2360
GYMEA BAY|NSW|2227
PINE GROVE|NSW|2829
CLIFTON GROVE|NSW|2800
GREENHILL|NSW|2440
DONDINGALONG|NSW|2440
SOUTH KEMPSEY|NSW|2440
QUIALIGO|NSW|2580
MOOREBANK|NSW|2170
WOMBOOTA|NSW|2731
POMONA|NSW|2648
WILDES MEADOW|NSW|2577
BERRILEE|NSW|2159
BUKKULLA|NSW|2360
CASULA|NSW|2170
MULGOA|NSW|2745
BOOERIE CREEK|NSW|2480
DOLPHIN POINT|NSW|2539
BYWONG|NSW|2621
PINEY RANGE|NSW|2810
MOORE CREEK|NSW|2340
WEST PENNANT HILLS|NSW|2125
MALLEE|NSW|2738
DARLOW|NSW|2729
RUNNYFORD|NSW|2536
MICALO ISLAND|NSW|2464
ELANORA HEIGHTS|NSW|2101
MULLENGANDRA|NSW|2644
NORTH YEOVAL|NSW|2868
WALMER|NSW|2820
ELVINA BAY|NSW|2105
WARRIEWOOD|NSW|2102
WEE JASPER|NSW|2582
APSLEY|NSW|2820
FINGAL HEAD|NSW|2487
COASTERS RETREAT|NSW|2108
MCCARRS CREEK|NSW|2105
SOLDIERS POINT|NSW|2317
BLOWERING|NSW|2720
EAST CORAKI|NSW|2471
REDFERN|NSW|2016
CHARLTON|NSW|2795
SANS SOUCI|NSW|2219
DENISTONE|NSW|2114
TACOMA SOUTH|NSW|2259
LANE COVE NORTH|NSW|2066
SPRINGVALE|NSW|2650
MEREWETHER HEIGHTS|NSW|2291
EAST WAGGA WAGGA|NSW|2650
BARRY|NSW|2799
ALEXANDRIA|NSW|2015
GREVILLIA|NSW|2474
SURRY HILLS|NSW|2010
MARKS POINT|NSW|2280
WHALAN|NSW|2770
COWAN|NSW|2081
ROSSI|NSW|2621
CAPTAINS FLAT|NSW|2623
SKINNERS SHOOT|NSW|2481
LARRAS LEE|NSW|2866
KIACATOO|NSW|2877
PIORA|NSW|2470
LARGS|NSW|2320
KINGSDALE|NSW|2580
CARRAI|NSW|2440
GEORGETOWN|NSW|2298
BAW BAW|NSW|2580
MARTINSVILLE|NSW|2265
LYNCHS CREEK|NSW|2474
LEPPINGTON|NSW|2179
JESMOND|NSW|2299
ARABLE|NSW|2630
MERRYLANDS WEST|NSW|2160
LIDSDALE|NSW|2790
LENAGHAN|NSW|2322
BOGGABILLA|NSW|2409
BUGALDIE|NSW|2357
AYLMERTON|NSW|2575
ARTARMON|NSW|2064
LIGHTNING RIDGE|NSW|2834
THURGOONA|NSW|2640
PETERSHAM|NSW|2049
LINLEY POINT|NSW|2066
SCOTTS FLAT|NSW|2330
LLANDILO|NSW|2747
WHITEMAN CREEK|NSW|2460
ROSEBERRY CREEK|NSW|2474
BIG HILL|NSW|2579
WILLIAMTOWN|NSW|2318
AUSTINMER|NSW|2515
BATHAMPTON|NSW|2795
LOGANS CROSSING|NSW|2439
LONG PLAIN|NSW|2629
LOWER BAGO|NSW|2730
SANDGATE|NSW|2304
WYBONG|NSW|2333
EMERTON|NSW|2770
LYNDHURST|NSW|2350
RABY|NSW|2566
CAMELLIA|NSW|2142
NATTAI|NSW|2570
FOREST GROVE|NSW|2795
WOLUMLA|NSW|2550
MANGERTON|NSW|2500
BARIGAN|NSW|2850
ALBION PARK|NSW|2527
MARAYONG|NSW|2148
WIRRINYA|NSW|2871
MARLOW|NSW|2775
WARABROOK|NSW|2304
STANMORE|NSW|2048
BERRINGER LAKE|NSW|2539
WYOMING|NSW|2250
ROUND MOUNTAIN|NSW|2484
MARRANGAROO|NSW|2790
MARSDEN PARK|NSW|2765
MOUNT MURRAY|NSW|2577
MARTINDALE|NSW|2328
CATHERINE FIELD|NSW|2557
SUFFOLK PARK|NSW|2481
SCOTTS CREEK|NSW|2338
NORTH GOSFORD|NSW|2250
MATONG|NSW|2652
WHALE BEACH|NSW|2107
HOVELLS CREEK|NSW|2794
MATRAVILLE|NSW|2036
EMERALD BEACH|NSW|2456
MERIMBULA|NSW|2548
MAYFIELD|NSW|2540
MAYFIELD NORTH|NSW|2304
MEERSCHAUM VALE|NSW|2477
MERRYLANDS|NSW|2160
TUNCURRY|NSW|2428
MIDDLE HARBOUR|NSW|2092
FREEMANS WATERHOLE|NSW|2323
MOONAN BROOK|NSW|2337
MIDGINBIL|NSW|2484
PENNANT HILLS|NSW|2120
UNGARIE|NSW|2669
CRYON|NSW|2832
EAST LYNNE|NSW|2536
MILBRULONG|NSW|2656
LEUMEAH|NSW|2560
MINTO|NSW|2566
AUSTRAL|NSW|2179
BROCKLESBY|NSW|2642
NORTH BOURKE|NSW|2840
MIRANDA|NSW|2228
MITCHELLS ISLAND|NSW|2430
MAIMURU|NSW|2594
COOLANGATTA|NSW|2535
EENAWEENA|NSW|2824
WARNERVALE|NSW|2259
CARSS PARK|NSW|2221
BELLINGEN|NSW|2454
CASUARINA|NSW|2487
LINDFIELD|NSW|2070
NORTH PARRAMATTA|NSW|2151
SWANSEA|NSW|2281
WIDDEN|NSW|2328
MORUYA HEADS|NSW|2537
KIAMA DOWNS|NSW|2533
MOSMAN|NSW|2088
MARAYLYA|NSW|2765
SALTWATER|NSW|2430
ILLABO|NSW|2590
JINDABYNE|NSW|2627
WESTDALE|NSW|2340
KURRAJONG|NSW|2758
DUNEDOO|NSW|2844
MURRAH|NSW|2546
ADAMSTOWN|NSW|2289
MOUNT ADRAH|NSW|2729
CASTLEREAGH|NSW|2749
RATHMINES|NSW|2283
TAREE|NSW|2430
JASPERS BRUSH|NSW|2535
CLIFTLEIGH|NSW|2321
SCOTIA|NSW|2648
BELMORE|NSW|2192
MOUNT KEMBLA|NSW|2526
MOUNT OLIVE|NSW|2330
HILLSBOROUGH|NSW|2320
TOORAWEENAH|NSW|2817
CALLIOPE|NSW|2462
SINGLETON HEIGHTS|NSW|2330
MANDEMAR|NSW|2575
HEXHAM|NSW|2322
GALONG|NSW|2585
BLACKTOWN|NSW|2148
EUROKA|NSW|2440
URAWILKIE|NSW|2829
BYRON BAY|NSW|2481
NORTH BALGOWLAH|NSW|2093
CAERLEON|NSW|2850
GUMBLE|NSW|2865
SOUTH GUNDAGAI|NSW|2722
GOOD HOPE|NSW|2582
DOONSIDE|NSW|2767
WATTAMONDARA|NSW|2794
BALLADORAN|NSW|2822
WATTLE GROVE|NSW|2173
INDI|NSW|2642
KING CREEK|NSW|2446
BARWANG|NSW|2594
WARRELL CREEK|NSW|2447
MURRUMBURRAH|NSW|2587
BOOROWA|NSW|2586
BULLA|NSW|2835
HOPEFIELD|NSW|2646
BURREN JUNCTION|NSW|2386
ACACIA GARDENS|NSW|2763
MENDOORAN|NSW|2842
BEARBONG|NSW|2827
SUTTON|NSW|2620
LOWER LEWIS PONDS|NSW|2800
COOYAL|NSW|2850
FERN BAY|NSW|2295
VALLA BEACH|NSW|2448
GODFREYS CREEK|NSW|2586
MOOLPA|NSW|2734
LAKE TABOURIE|NSW|2539
WENTWORTH POINT|NSW|2127
GLENRIDDING|NSW|2330
WOODSTOCK|NSW|2538
COOPERS SHOOT|NSW|2479
GREENFIELD PARK|NSW|2176
NASHUA|NSW|2479
NEWCASTLE EAST|NSW|2300
HAWKESBURY HEIGHTS|NSW|2777
INVERELL|NSW|2360
COUTTS CROSSING|NSW|2460
YARRAVEL|NSW|2440
THE RIDGEWAY|NSW|2620
MARYVILLE|NSW|2293
MICHELAGO|NSW|2620
EDENSOR PARK|NSW|2176
DONNELLYVILLE|NSW|2447
BULLIAC|NSW|2422
SUMMERLAND POINT|NSW|2259
SPEERS POINT|NSW|2284
SHERWOOD|NSW|2450
CHINNOCK|NSW|2550
TERRACE CREEK|NSW|2474
ROSE VALLEY|NSW|2534
BACKWATER|NSW|2365
BUDAWANG|NSW|2622
ILLAROO|NSW|2540
WARKWORTH|NSW|2330
COUNTEGANY|NSW|2630
WINGELLO|NSW|2579
MOUNT AQUILA|NSW|2820
WAITARA|NSW|2077
CABARITA BEACH|NSW|2488
DARLINGTON|NSW|2008
MOUNT LEWIS|NSW|2190
LAPSTONE|NSW|2773
ELDERSLIE|NSW|2335
COOKS HILL|NSW|2300
YAMBA|NSW|2464
STANFORD MERTHYR|NSW|2327
ROUGHIT|NSW|2330
NORTH CURL CURL|NSW|2099
MOUNT ROYAL|NSW|2330
NEUREA|NSW|2820
WATERLOO|NSW|2017
MOUNT KNOWLES|NSW|2850
PEJAR|NSW|2583
HARTYS PLAINS|NSW|2446
ROOTY HILL|NSW|2766
SYDENHAM|NSW|2044
ETTRICK|NSW|2474
SILENT GROVE|NSW|2372
WOOLLAMIA|NSW|2540
MOUNT OLIVE|NSW|2330
MOUNT RANKIN|NSW|2795
JAMBEROO|NSW|2533
MINMI|NSW|2287
TOTNES VALLEY|NSW|2850
ROTO|NSW|2675
MOUNT SEAVIEW|NSW|2446
AMBARVALE|NSW|2560
MOUNT WHITE|NSW|2250
MORTDALE|NSW|2223
MENAI|NSW|2234
MOUNTAIN TOP|NSW|2480
FOREST GLEN|NSW|2157
BALLIMORE|NSW|2830
OLNEY|NSW|2325
MULLENGUDGERY|NSW|2825
MORORO|NSW|2469
BABINDA|NSW|2825
BULLA CREEK|NSW|2594
CORNWALLIS|NSW|2756
CROSSLANDS|NSW|2446
BYLONG|NSW|2849
MUMBULLA MOUNTAIN|NSW|2550
MUNGAY CREEK|NSW|2440
RAWDON ISLAND|NSW|2446
MUNGO|NSW|2715
MURRIN BRIDGE|NSW|2672
BRODIES PLAINS|NSW|2360
BENDALONG|NSW|2539
OURIMBAH|NSW|2258
MURRUMBATEMAN|NSW|2582
AVALON BEACH|NSW|2107
TABBIMOBLE|NSW|2472
NEW ITALY|NSW|2472
KAINS FLAT|NSW|2850
HALLS CREEK|NSW|2346
THIRROUL|NSW|2515
NANIMA|NSW|2582
STONEQUARRY|NSW|2580
TINGIRA HEIGHTS|NSW|2290
IRON POT CREEK|NSW|2474
NEVERTIRE|NSW|2826
NEWCASTLE|NSW|2300
WATERVIEW|NSW|2460
BAGOTVILLE|NSW|2477
YASS|NSW|2582
CECIL HILLS|NSW|2171
AVALON|NSW|2107
BILGOLA|NSW|2107
NEWCASTLE WEST|NSW|2302
NEWEE CREEK|NSW|2447
ROB ROY|NSW|2360
WILLOUGHBY|NSW|2068
ELDERSLIE|NSW|2335
NEWPORT|NSW|2106
HABERFIELD|NSW|2045
NORMANHURST|NSW|2076
THE BIGHT|NSW|2429
JEIR|NSW|2582
REDBANK|NSW|2446
GUNBAR|NSW|2711
HARGRAVES|NSW|2850
CARRS ISLAND|NSW|2460
YABBRA|NSW|2469
NORTH ALBURY|NSW|2640
NORTH BOAMBEE VALLEY|NSW|2450
NORTH HARBOUR|NSW|2093
NORTH ROTHBURY|NSW|2335
CANOELANDS|NSW|2157
NORTH TAMWORTH|NSW|2340
MURRAMI|NSW|2705
BOOROOK|NSW|2372
COLYTON|NSW|2760
NORTH WAHROONGA|NSW|2076
MONDROOK|NSW|2430
BERKELEY VALE|NSW|2261
CARABOST|NSW|2650
TULLAKOOL|NSW|2732
NORTHBRIDGE|NSW|2063
BERKSHIRE PARK|NSW|2765
O'CONNELL|NSW|2795
TOCAL|NSW|2421
INVERGOWRIE|NSW|2350
OAKHURST|NSW|2761
MOUNT PLEASANT|NSW|2519
MANGOPLAH|NSW|2652
OBERON|NSW|2787
BEROWRA CREEK|NSW|2082
BURRABOI|NSW|2732
ST LEONARDS|NSW|2065
YARRANGOBILLY|NSW|2720
ISABELLA|NSW|2795
BURRA|NSW|2620
BOOMI CREEK|NSW|2476
OLD BAR|NSW|2430
WAMBOOL|NSW|2795
MOLLYMOOK|NSW|2539
COOTRALANTRA|NSW|2628
DOWNSIDE|NSW|2650
HUNTINGDON|NSW|2446
BEROWRA HEIGHTS|NSW|2082
ETTAMOGAH|NSW|2640
BEROWRA WATERS|NSW|2082
WYNEDEN|NSW|2474
SMITHS CREEK|NSW|2474
ORANGE GROVE|NSW|2380
OXLEY ISLAND|NSW|2430
PADSTOW|NSW|2211
MIDDLE COVE|NSW|2068
TABLE TOP|NSW|2640
WARDS RIVER|NSW|2422
NORTH RICHMOND|NSW|2754
LAKE WYANGAN|NSW|2680
WOLLEMI|NSW|2330
WILLSONS DOWNFALL|NSW|2372
BLACKHEATH|NSW|2785
PAMBULA|NSW|2549
DANDRY|NSW|2357
VITTORIA|NSW|2799
SOUTH NOWRA|NSW|2541
VILLAWOOD|NSW|2163
LLANGOTHLIN|NSW|2365
KUNGHUR CREEK|NSW|2484
WARNERS BAY|NSW|2282
WINDSOR|NSW|2756
ULMARRA|NSW|2462
MURRAY DOWNS|NSW|2734
RENO|NSW|2722
BLAXLANDS RIDGE|NSW|2758
GRASMERE|NSW|2570
HOMEBUSH WEST|NSW|2140
LOWER MANGROVE|NSW|2250
CEDAR CREEK|NSW|2325
SINGLETON|NSW|2330
CAMBRIDGE GARDENS|NSW|2747
OWENS GAP|NSW|2337
BUNNAN|NSW|2337
PALING YARDS|NSW|2795
BONNYRIGG HEIGHTS|NSW|2177
KOSCIUSZKO NATIONAL PARK|NSW|2627
VARROVILLE|NSW|2566
SOUTH WOLUMLA|NSW|2550
ROSELANDS|NSW|2196
GERROA|NSW|2534
MOUNT THORLEY|NSW|2330
NUMINBAH|NSW|2484
BOOROORBAN|NSW|2710
KYOGLE|NSW|2474
NORTH NARRABEEN|NSW|2101
TUBBAMURRA|NSW|2365
BOORGA|NSW|2652
BENEREMBAH|NSW|2680
MILSONS PASSAGE|NSW|2083
DOUBTFUL CREEK|NSW|2470
STANWELL TOPS|NSW|2508
BUNGWAHL|NSW|2423
MOUNT MITCHELL|NSW|2365
FINGAL BAY|NSW|2315
MAGENTA|NSW|2261
EUNGAI CREEK|NSW|2441
TUGGERAH|NSW|2259
COOLUMBURRA|NSW|2622
ROSE VALLEY|NSW|2534
FIVE DOCK|NSW|2046
KARS SPRINGS|NSW|2337
KOREELAH|NSW|2476
RUTHVEN|NSW|2480
BELLBROOK|NSW|2440
SADLEIR|NSW|2168
BRUNGLE|NSW|2722
KAMERUKA|NSW|2550
WINDRADYNE|NSW|2795
CAMS WHARF|NSW|2281
GADARA|NSW|2720
CATTAI|NSW|2756
LEYCESTER|NSW|2480
WILLI WILLI|NSW|2440
YULLUNDRY|NSW|2867
GUNNINGBLAND|NSW|2876
GOOLMANGAR|NSW|2480
WOLLOMOMBI|NSW|2350
EDEN CREEK|NSW|2474
MOONEY MOONEY|NSW|2083
GLENCOE|NSW|2365
BARKERS VALE|NSW|2474
BRUNGLE CREEK|NSW|2722
THE ROCKS|NSW|2795
KINGSWOOD|NSW|2747
SANDY FLAT|NSW|2372
NEWNES|NSW|2790
CAVES BEACH|NSW|2281
FORDS BRIDGE|NSW|2840
WONDABYNE|NSW|2256
KANGAROOBIE|NSW|2800
BUNDELLA|NSW|2343
GINGHI|NSW|2849
GIBRALTAR RANGE|NSW|2370
TOUGA|NSW|2622
BOLARO|NSW|2629
MOUNT DARRAGH|NSW|2632
KNORRIT FOREST|NSW|2424
MULGRAVE|NSW|2756
REEDY SWAMP|NSW|2550
BOURNEWOOD|NSW|2868
PHOENIX PARK|NSW|2321
WINDERMERE|NSW|2321
TENANDRA|NSW|2824
DURAL|NSW|2158
WAKOOL|NSW|2710
COOLATAI|NSW|2402
CLAYMORE|NSW|2559
MAYFIELD EAST|NSW|2304
KENSINGTON|NSW|2033
DAWES POINT|NSW|2000
KHANCOBAN|NSW|2642
GARRA|NSW|2866
CONARGO|NSW|2710
UPPER BYLONG|NSW|2849
COGGAN|NSW|2849
BELLAMBI|NSW|2518
BARRABA|NSW|2347
PILOT WILDERNESS|NSW|2627
NUNDERI|NSW|2484
PADDYS RIVER|NSW|2577
MOUNT ARTHUR|NSW|2820
MILLERS POINT|NSW|2000
CALLALA BAY|NSW|2540
BURRANGONG|NSW|2594
MERRICUMBENE|NSW|2622
COROWA|NSW|2646
BILLYS CREEK|NSW|2453
ENDRICK|NSW|2622
BYANGUM|NSW|2484
RUSSELL VALE|NSW|2517
MERRYGOEN|NSW|2831
DUNGARUBBA|NSW|2480
FOREST LAND|NSW|2372
MONKERAI|NSW|2415
MUMMULGUM|NSW|2469
OYSTER COVE|NSW|2318
PANGEE|NSW|2825
SALISBURY|NSW|2420
CHARLEYS FOREST|NSW|2622
KILGRA|NSW|2474
MONDAYONG|NSW|2540
SOUTH BOWENFELS|NSW|2790
TOMAKIN|NSW|2537
ROSEMEADOW|NSW|2560
CAROOL|NSW|2486
KAPOOKA|NSW|2661
CURRANS HILL|NSW|2567
PAMBULA BEACH|NSW|2549
PAMPOOLAH|NSW|2430
NANA GLEN|NSW|2450
WANGI WANGI|NSW|2267
KANGAROO VALLEY|NSW|2577
PANANIA|NSW|2213
TENNYSON POINT|NSW|2111
BUNGABBEE|NSW|2480
BARRINGTON TOPS|NSW|2422
PARKLEA|NSW|2768
MORTON|NSW|2538
PILLIGA|NSW|2388
CURRAWEELA|NSW|2580
MINORE|NSW|2830
BREELONG|NSW|2827
PITTWATER|NSW|2103
PLUMPTON|NSW|2761
POINT PIPER|NSW|2027
BERTHONG|NSW|2594
LETHBRIDGE PARK|NSW|2770
SANDIGO|NSW|2700
NOWRA HILL|NSW|2540
SYDNEY OLYMPIC PARK|NSW|2127
GLENBAWN|NSW|2337
WEST WIANGAREE|NSW|2474
CONJOLA PARK|NSW|2539
BROKEN HEAD|NSW|2481
GOORIANAWA|NSW|2396
LONG PLAIN|NSW|2629
WHITEBRIDGE|NSW|2290
ARALUEN|NSW|2622
MOLLYMOOK BEACH|NSW|2539
GOOGONG|NSW|2620
KANWAL|NSW|2259
PORT STEPHENS|NSW|2315
BERYL|NSW|2852
PRAIRIEWOOD|NSW|2176
GLENNIES CREEK|NSW|2330
TUGRABAKH|NSW|2422
PRETTY BEACH|NSW|2539
MARKWELL|NSW|2423
CHESTER HILL|NSW|2162
COPPERHANNIA|NSW|2795
LAKELANDS|NSW|2282
PUNCHBOWL|NSW|2196
PURLEWAUGH|NSW|2357
WIRRABA|NSW|2849
GOONENGERRY|NSW|2482
STEWARTS BROOK|NSW|2337
PYMBLE|NSW|2073
METFORD|NSW|2323
QUAKERS HILL|NSW|2763
BEVERLY HILLS|NSW|2209
PALLAMALLAWA|NSW|2399
QUIRINDI|NSW|2343
LAKE CONJOLA|NSW|2539
BEXLEY NORTH|NSW|2207
OXFORD FALLS|NSW|2100
REVESBY|NSW|2212
MURRAYS RUN|NSW|2325
RIVERSTONE|NSW|2765
ROCKLEY|NSW|2795
BARCOONGERE|NSW|2462
ELLIS LANE|NSW|2570
GOL GOL|NSW|2738
BIDWILL|NSW|2770
UPPER MYALL|NSW|2423
ELONG ELONG|NSW|2831
TALBINGO|NSW|2720
ROCKDALE|NSW|2216
ROPES CROSSING|NSW|2760
GREENLANDS|NSW|2330
BROWNS CREEK|NSW|2799
ROUS|NSW|2477
BALD RIDGE|NSW|2795
BURRAGA|NSW|2795
NIEMUR|NSW|2733
WEETALIBA|NSW|2395
YATTALUNGA|NSW|2251
ABERGLASSLYN|NSW|2320
JACKY BULBIN FLAT|NSW|2463
SOUTH ALBURY|NSW|2640
CHARLESTOWN|NSW|2290
VOYAGER POINT|NSW|2172
MORTONS CREEK|NSW|2446
WATAGAN|NSW|2325
ROUS MILL|NSW|2477
ANEMBO|NSW|2621
CUMBALUM|NSW|2478
JEWS LAGOON|NSW|2397
ROSEVILLE CHASE|NSW|2069
HARRIS PARK|NSW|2150
ROUSE HILL|NSW|2155
WALLAROO|NSW|2618
CASTLE COVE|NSW|2069
ROYAL NATIONAL PARK|NSW|2232
STANHOPE GARDENS|NSW|2768
WHITTINGHAM|NSW|2330
CABARITA|NSW|2137
KOORAINGHAT|NSW|2430
BROADMEADOW|NSW|2292
JINGERA|NSW|2622
MEADOWBANK|NSW|2114
BONDI FOREST|NSW|2632
CRANEBROOK|NSW|2749
ARDING|NSW|2358
GLENTHORNE|NSW|2430
RUSHFORTH|NSW|2460
GEORGES HALL|NSW|2198
SACKVILLE NORTH|NSW|2756
JINDERA|NSW|2642
MILTON|NSW|2538
KOOKABOOKRA|NSW|2370
FERNSIDE|NSW|2480
SANCROX|NSW|2446
ASHBURY|NSW|2193
SANDY HILL|NSW|2372
FERODALE|NSW|2318
BILBUL|NSW|2680
SCHOFIELDS|NSW|2762
ROSEVILLE|NSW|2069
SHALVEY|NSW|2770
SHANES PARK|NSW|2747
BOURKE|NSW|2840
TERREEL|NSW|2422
CANDELO|NSW|2550
NARELLAN|NSW|2567
HOLSWORTHY|NSW|2173
AWABA|NSW|2283
SHELL COVE|NSW|2529
NOMBI|NSW|2379
COBBITTY|NSW|2570
SINGLETON MILITARY AREA|NSW|2331
BILLYWILLINGA|NSW|2795
SODWALLS|NSW|2790
SOFALA|NSW|2795
SOUTH BATHURST|NSW|2795
WATERSLEIGH|NSW|2540
WIMBLEDON|NSW|2795
CUMBERLAND REACH|NSW|2756
LANE COVE|NSW|2066
MAIANBAR|NSW|2230
SOUTH MURWILLUMBAH|NSW|2484
ST GEORGE|NSW|2622
FRYING PAN|NSW|2630
HOMELEIGH|NSW|2474
UPPER TAYLORS ARM|NSW|2447
POTTS POINT|NSW|2011
BUNGENDORE|NSW|2621
BIALA|NSW|2581
NARRANDERA|NSW|2700
SOUTH COOGEE|NSW|2034
GLENROY|NSW|2653
KINGSGATE|NSW|2370
KNOCKROW|NSW|2479
WHEELER HEIGHTS|NSW|2097
EUCUMBENE|NSW|2628
TALLOWAL|NSW|2540
TULLARWALLA|NSW|2540
COILA|NSW|2537
MULLA CREEK|NSW|2352
BAXTERS RIDGE|NSW|2422
MADDENS PLAINS|NSW|2508
COMMISSIONERS CREEK|NSW|2484
ARTHURVILLE|NSW|2820
WARRAGAI CREEK|NSW|2460
FORSTER|NSW|2428
BAKERS CREEK|NSW|2422
WAVERTON|NSW|2060
COLLENDINA|NSW|2646
ENGADINE|NSW|2233
MOUNT HARRIS|NSW|2824
BULGARY|NSW|2650
MAROOTA|NSW|2756
GARLAND VALLEY|NSW|2330
RUGBY|NSW|2583
BILLILINGRA|NSW|2630
BROWNSVILLE|NSW|2530
WHEEO|NSW|2583
GOONUMBLA|NSW|2870
BUNGARRIBEE|NSW|2767
BURRAGATE|NSW|2550
LIMERICK|NSW|2583
HIGHER MACDONALD|NSW|2775
SCARBOROUGH|NSW|2515
WOY WOY|NSW|2256
WALLAROBBA|NSW|2420
STOTTS CREEK|NSW|2487
OLD ADAMINABY|NSW|2629
WILLIGOBUNG|NSW|2653
PYRAMUL|NSW|2850
OLINDA|NSW|2849
SOMERSBY|NSW|2250
MOORILDA|NSW|2795
BRUSHY CREEK|NSW|2365
ALISON|NSW|2420
DUNCANS CREEK|NSW|2340
NULLO MOUNTAIN|NSW|2849
RUBY CREEK|NSW|4380
PEATS RIDGE|NSW|2250
WYEE POINT|NSW|2259
PALLAL|NSW|2404
JELLAT JELLAT|NSW|2550
MANOBALAI|NSW|2333
LOFTVILLE|NSW|2480
KINGS PLAINS|NSW|2799
FITZGERALDS MOUNT|NSW|2799
POTTSVILLE|NSW|2489
DEEP CREEK|NSW|2460
WALLAMORE|NSW|2340
BERRY PARK|NSW|2321
GOODMANS FORD|NSW|2575
DALMORTON|NSW|2460
BENDOURA|NSW|2622
ARNDELL PARK|NSW|2148
WOOTTON|NSW|2423
RHINE FALLS|NSW|2630
KEMPS CREEK|NSW|2178
YARRAGRIN|NSW|2842
HOLGATE|NSW|2250
THORA|NSW|2454
JEOGLA|NSW|2350
TUMBLONG|NSW|2729
TALLONG|NSW|2579
BACK CREEK|NSW|2671
CROOBLE|NSW|2400
TIMBILLICA|NSW|2551
EDDERTON|NSW|2333
CABRAMURRA|NSW|2629
TOWAMBA|NSW|2550
WOODFORD|NSW|2778
MACMASTERS BEACH|NSW|2251
JOADJA|NSW|2575
WATSONS CREEK|NSW|2355
EUNANOREENYA|NSW|2650
GWANDALAN|NSW|2259
BOREE CREEK|NSW|2652
BIMBERI|NSW|2611
SOUTH GRAFTON|NSW|2460
SOUTH MAROOTA|NSW|2756
SPICERS CREEK|NSW|2820
SPRING CREEK|NSW|2800
LINDEN|NSW|2778
EATONSVILLE|NSW|2460
SPRINGSIDE|NSW|2800
NEVILLE|NSW|2799
LAKESLAND|NSW|2572
SPRINGVALE|NSW|2650
ST JOHNS PARK|NSW|2176
ST MARYS|NSW|2760
RANNOCK|NSW|2701
BLAIR ATHOL|NSW|2560
SUMMER HILL|NSW|2130
PALMDALE|NSW|2258
STANHOPE|NSW|2335
ST CLAIR|NSW|2759
CLEMTON PARK|NSW|2206
STUART TOWN|NSW|2820
LEURA|NSW|2780
TAHMOOR|NSW|2573
LOWER DUCK CREEK|NSW|2469
SPICKETTS CREEK|NSW|2454
HILLSDALE|NSW|2036
GOORANGOOLA|NSW|2330
BERKELEY|NSW|2506
LAGOON GRASS|NSW|2480
BULGA|NSW|2330
BIRCHGROVE|NSW|2041
ALSTONVALE|NSW|2477
TAMBAN|NSW|2441
CAMDEN|NSW|2570
NASHDALE|NSW|2800
NELSON BAY|NSW|2315
PADDINGTON|NSW|2021
WINGEN|NSW|2337
MIDDLE BROTHER|NSW|2443
BELLA VISTA|NSW|2153
KELVIN|NSW|2380
LIMEKILNS|NSW|2795
TAMBAR SPRINGS|NSW|2381
LENNOX HEAD|NSW|2478
TANTANGARA|NSW|2629
COROBIMILLA|NSW|2700
MILLIE|NSW|2397
KELGOOLA|NSW|2849
CUMBO|NSW|2850
TARANA|NSW|2787
GUMLY GUMLY|NSW|2652
ENGLORIE PARK|NSW|2560
EMPIRE BAY|NSW|2257
TURRELLA|NSW|2205
TARRAWANNA|NSW|2518
PELTON|NSW|2325
KILLCARE|NSW|2257
QUIDONG|NSW|2632
TORRYBURN|NSW|2358
TAYLORS FLAT|NSW|2586
TEMPE|NSW|2044
TERRANORA|NSW|2486
LARBERT|NSW|2622
THARBOGANG|NSW|2680
WIDGELLI|NSW|2680
PEAK HILL|NSW|2869
HORSESHOE CREEK|NSW|2474
SHANNON BROOK|NSW|2470
LISAROW|NSW|2250
BORAH CREEK|NSW|2346
BELANGLO|NSW|2577
TREGEAR|NSW|2770
GRANTS BEACH|NSW|2445
DIEHARD|NSW|2370
GUYONG|NSW|2798
THE DEVILS WILDERNESS|NSW|2758
THE MEADOWS|NSW|2787
LOWER PORTLAND|NSW|2756
ROTHBURY|NSW|2320
METHUL|NSW|2701
YIPPIN CREEK|NSW|2446
BEECROFT PENINSULA|NSW|2540
THE PONDS|NSW|2769
THIRLMERE|NSW|2572
WERRINGTON|NSW|2747
SIMPKINS CREEK|NSW|2469
WAYO|NSW|2580
DUBBO|NSW|2830
THORNLEIGH|NSW|2120
TOMEWIN|NSW|2484
BELBORA|NSW|2422
INVERGORDON|NSW|2422
THRUMSTER|NSW|2444
GALORE|NSW|2650
GRENFELL|NSW|2810
TIMBARRA|NSW|2372
WIMBORNE|NSW|2346
TIRRANNAVILLE|NSW|2580
TOMINGLEY|NSW|2869
YANCO|NSW|2703
BLAND|NSW|2721
CUNNINYEUK|NSW|2734
TONGARRA|NSW|2527
SILVERWATER|NSW|2264
SMEATON GRANGE|NSW|2567
MINNIE WATER|NSW|2462
EUABALONG WEST|NSW|2877
TOOTOOL|NSW|2655
TULLIMBAR|NSW|2527
SWANBROOK|NSW|2360
BALICKERA|NSW|2324
THE GULF|NSW|2365
CAMPBELLTOWN|NSW|2560
TWELVE MILE PEG|NSW|2540
WOMBEYAN CAVES|NSW|2580
BLAKNEY CREEK|NSW|2581
